Subject,Condition,da,meta_da
00139,SC,2.31,1.038
00139,CC,2.311,1.097
00139,CI,1.815,1.103
00173,SC,1.549,0.945
00173,CC,1.344,1.498
00173,CI,1.278,2.461
00210,SC,1.298,1.889
00210,CC,1.41,2.263
00210,CI,1.416,1.439
00212,SC,1.473,0.921
00212,CC,1.17,1.366
00212,CI,1.224,1.278
00216,SC,1.546,1.191
00216,CC,1.416,1.313
00216,CI,1.613,1.131
00217,SC,1.356,1.172
00217,CC,1.358,1.013
00217,CI,1.442,1.027
00218,SC,1.43,1.312
00218,CC,1.675,0.782
00218,CI,1.06,1.156
00219,SC,1.702,1.112
00219,CC,1.753,1.023
00219,CI,1.587,1.282
00220,SC,1.139,1.126
00220,CC,1.297,0.835
00220,CI,1.601,1.183
00222,SC,1.463,0.736
00222,CC,1.479,1.096
00222,CI,1.645,1.04
00223,SC,1.468,1.208
00223,CC,1.634,1.679
00223,CI,1.497,1.151
00224,SC,1.734,1.645
00224,CC,1.614,1.803
00224,CI,1.74,1.163
00225,SC,1.593,0.938
00225,CC,1.823,1.307
00225,CI,1.484,1.002
00226,SC,1.554,1.069
00226,CC,2.038,0.955
00226,CI,1.783,0.849
00227,SC,1.687,0.647
00227,CC,2.076,2.38
00227,CI,1.323,1.385
00228,SC,1.612,0.785
00228,CC,1.432,0.985
00228,CI,1.436,1.065
