Subject,Condition,da,meta_da
00139,SC,1.326,0.868
00139,CC,1.16,0.66
00139,CI,0.587,0.344
00173,SC,0.7,0.486
00173,CC,0.965,0.619
00173,CI,1.035,0.276
00210,SC,1.248,0.456
00210,CC,0.636,0.782
00210,CI,1.127,0.455
00212,SC,0.832,0.953
00212,CC,0.494,0.877
00212,CI,0.879,0.911
00216,SC,1.614,0.557
00216,CC,0.395,0.431
00216,CI,1.472,0.333
00217,SC,1.206,0.901
00217,CC,0.944,0.649
00217,CI,0.133,0.364
00218,SC,1.339,0.591
00218,CC,1.952,0.397
00218,CI,0.323,0.199
00219,SC,1.326,0.624
00219,CC,1.45,0.396
00219,CI,1.088,0.368
00220,SC,1.515,0.626
00220,CC,1.524,0.752
00220,CI,0.68,0.37
00222,SC,2.014,0.746
00222,CC,2.211,0.644
00222,CI,1.085,0.135
00223,SC,1.673,0.602
00223,CC,1.666,0.538
00223,CI,1.159,0.461
00224,SC,1.514,0.246
00224,CC,1.244,0.43
00224,CI,0.234,0.148
00225,SC,0.788,0.518
00225,CC,0.816,0.609
00225,CI,0.458,0.062
00226,SC,1.549,1.116
00226,CC,1.15,0.839
00226,CI,1.023,0.64
00227,SC,1.57,0.814
00227,CC,0.012,0.313
00227,CI,0.569,0.533
00228,SC,0.985,0.743
00228,CC,0.751,0.818
00228,CI,0.37,0.53
